,COVID,vaccine
0,0,4
1,0,4
2,1,4
3,1,3
4,4,6
5,9,7
6,32,11
7,80,15
8,100,14
9,100,13
10,87,11
11,81,10
12,72,12
13,70,11
14,68,13
15,65,11
16,60,12
17,58,9
18,51,8
19,52,8
20,55,9
21,60,10
22,63,11
23,63,11
24,69,17
25,63,14
26,64,12
27,63,12
28,58,18
29,55,12
30,51,10
31,51,11
32,54,11
33,53,11
34,54,10
35,56,10
36,59,9
37,61,10
38,63,10
39,73,10
40,64,8
41,72,21
42,77,17
43,68,15
44,69,22
45,71,32
46,75,37
47,74,31
48,80,39
49,85,49
50,83,68
51,75,67
52,72,66
53,68,64
54,63,64
55,62,60
56,65,69
57,70,89
58,73,100
59,73,99
